year,month,day,hour,min,second,validity,source,earthquake_mag,country,name,lat,lng,water_height,tsunami_mag_lida,tsunami_intensity,death_nbr,injuries_nbr,damage_mill,damage_code,house_destroyed,house_code
1611,12,2,0,0,0,definite tsunami,Earthquake,8.1,JAPAN,SANRIKU,39,144.5,25,3.5,4,5000,0,24,3,0,0
1612,11,8,0,0,0,definite tsunami,Earthquake,6.7,GREECE,ISLAND OF CRETE,35.5,25.5,0,0,4,0,0,0,0,0,0
1613,8,25,0,0,0,questionable tsunami,Earthquake,5.6,ITALY,MESSINA,38.117,14.783,0,0,4,0,0,0,0,0,0
1614,11,26,0,0,0,definite tsunami,Earthquake,7.7,JAPAN,NIIGATA PREFECTURE,37.5,138,0,2,1,0,0,0,0,0,0
1615,6,5,0,0,0,definite tsunami,Earthquake,5.7,UKRAINE,BLACK SEA,44.9,35.5,1,0,2,0,0,0,0,0,0
1615,9,16,0,0,0,questionable tsunami,Earthquake,7.5,CHILE,NORTHERN CHILE,-18.5,-70.35,4,2,1.5,0,0,0,0,0,0
1616,9,9,0,0,0,definite tsunami,Earthquake,7,JAPAN,MIYAGI PREFECTURE,38.1,142,0,1,1,0,0,1,1,0,0
1616,12,6,0,0,0,questionable tsunami,Earthquake,7.5,JAPAN,SANRIKU,39,144.5,0,1,1,200,0,0,0,0,0
1619,5,1,0,0,0,definite tsunami,Earthquake,6.4,JAPAN,"YATSUSHIRO, JAPAN",32.5,130.6,0,0,0,0,0,1,1,0,0
1622,5,5,0,0,0,questionable tsunami,Earthquake,6.6,GREECE,ISLAND OF ZAKYNTHOS,37.6,21,0,0,0,0,0,0,0,0,0
1627,7,30,10,50,0,definite tsunami,Earthquake,6.7,ITALY,GARGANO PENINSULA,41.733,15.35,0,0,5,0,0,0,0,0,0
1627,9,14,0,0,0,probable tsunami,Earthquake,8,PHILIPPINES,W. LUZON ISLAND,18.4,121.6,0,2,3.5,0,0,0,0,0,0
1629,3,9,9,0,0,probable tsunami,Earthquake,7,GREECE,CRETE,36,25,0,0,3,0,0,0,0,0,0
1633,3,1,0,0,0,definite tsunami,Earthquake,7.1,JAPAN,SAGAMI BAY,35.2,139.2,0,1,1,0,0,5,2,0,0
1633,11,5,0,0,0,definite tsunami,Earthquake,6.9,GREECE,ISLAND OF ZAKYNTHOS,37.6,21,0,0,3,0,0,1,1,0,0
1634,3,0,0,0,0,event that only caused a seiche or disturbance in an inland river,Earthquake,5.5,CHINA,HUBEI PROVINCE,30.7,115.1,1,0,0,0,0,0,0,0,0
1636,9,30,18,30,0,event that only caused a seiche or disturbance in an inland river,Earthquake,7.2,GREECE,IONIAN SEA,38.1,20.3,0,0,3,0,0,0,0,0,0
1638,3,27,15,5,0,questionable tsunami,Earthquake,7,ITALY,TYRRHENIAN CALABRIA,39.033,16.283,0,0,5,0,0,0,0,0,0
1640,7,31,0,0,0,definite tsunami,Volcano,6.5,JAPAN,SE. HOKKAIDO ISLAND,42.07,140.68,0,2,1,700,0,1,1,20,1
1642,9,4,0,0,0,definite tsunami,Earthquake,6.7,JAPAN,"BOSO, JAPAN",35.2,140.6,0,1,1,0,0,0,0,0,0
1643,7,25,0,0,0,definite tsunami,Earthquake,6.5,SOUTH KOREA,SEA OF JAPAN,35.5,129.5,0,1,1,0,0,0,0,0,0
1644,10,18,0,0,0,definite tsunami,Earthquake,6.9,JAPAN,"HONJO, AKITA",39.4,140.1,0,1,1,117,0,0,0,0,0
1645,11,30,12,0,0,very doubtful tsunami,Earthquake,8,PHILIPPINES,W. LUZON ISLAND,14.4,121,0,0,0,0,0,0,0,0,0
1646,4,5,20,0,0,definite tsunami,Earthquake,5.2,ITALY,LIVORNO,43.55,10.317,0,0,3,0,0,0,0,0,0
1646,6,9,0,0,0,very doubtful tsunami,Earthquake,7.6,JAPAN,SANRIKU,37.7,141.7,0,0,0,0,0,0,0,0,0
1649,1,0,0,0,0,very doubtful tsunami,Earthquake,5,ITALY,MESSINA STRAITS,38.183,15.55,0,0,5,0,0,1,1,0,0
1649,12,9,0,0,0,definite tsunami,Earthquake,6.5,SOUTH KOREA,YELLOW SEA,35.5,126,0,1,1,0,0,5,2,0,0
1650,9,29,0,0,0,definite tsunami,Volcano and Landslide,0,GREECE,THERA ISLAND (SANTORINI),36.404,25.396,30,5.6,6,0,0,1,1,0,0
1655,11,13,16,45,0,very doubtful tsunami,Earthquake,7.7,PERU,CENTRAL PERU,-12.3,-77.6,0,0,0,0,0,0,0,0,0
1657,3,15,23,30,0,probable tsunami,Earthquake,8,CHILE,CENTRAL CHILE,-36.83,-73.03,0,3,2.5,40,0,24,3,0,3
1659,2,17,17,2,0,very doubtful tsunami,Earthquake,0,GREECE,AEGEAN SEA,41,27.8,0,0,0,0,0,0,0,0,0
1661,1,8,0,0,0,questionable tsunami,Earthquake,6,TAIWAN,SOUTH CHINA SEA,23,120.1,0,0,1.5,0,0,0,0,0,0
1662,10,30,14,0,0,definite tsunami,Earthquake,7.6,JAPAN,HIUGANADA,31.7,132,1,2,2.5,200,0,25,4,2500,4
1666,5,31,0,0,0,probable tsunami,Earthquake,6.4,JAPAN,AICHI PREFECTURE,35,136.8,0,1,1,0,0,1,1,0,0
1667,4,6,7,10,0,questionable tsunami,Earthquake,7.2,CROATIA,DALMATIAN COASTS,42.6,18.1,0,0,4,0,0,1,1,0,0
1667,11,30,0,0,0,questionable tsunami,Earthquake,6.6,TURKEY,IZMIR,38.4,27.1,0,0,2,0,0,0,0,0,0
1667,0,0,0,0,0,definite tsunami,Earthquake,6.7,JAPAN,"MIYAKOJIMA, JAPAN",25,125.5,0,1,1,0,0,0,0,0,0
1668,7,10,0,0,0,probable tsunami,Earthquake,6.6,TURKEY,"SMYRNA, W. TURKEY",38.4,27.1,0,0,2,0,0,0,0,0,0
1668,7,25,0,0,0,probable tsunami,Earthquake,8.5,CHINA,"TANCHENG, SHANDONG PROVINCE",35.3,118.6,0,0,0,0,0,0,0,0,0
1668,7,31,0,0,0,questionable tsunami,Earthquake,6.4,NORTH KOREA,YELLOW SEA,38,126,0,1,1.5,0,0,1,1,0,1
1670,8,19,0,0,0,definite tsunami,Earthquake,6.8,CHINA,EAST CHINA SEA,33,122.5,0,1,1.5,0,0,0,0,0,0
1670,12,17,0,0,0,definite tsunami,Earthquake,6.4,JAPAN,"BOSO, JAPAN",35.5,141,2,1,1,0,0,1,1,0,0
1671,2,27,0,0,0,very doubtful tsunami,Earthquake,6.9,JAPAN,NANKAIDO,33.4,134.7,0,0,0,0,0,0,0,0,0
1672,4,14,15,45,0,definite tsunami,Earthquake,5.6,ITALY,CENTRAL ADRIATIC,43.933,12.583,0,0,3,0,0,0,0,0,0
1672,4,0,0,0,0,very doubtful tsunami,Earthquake,6.5,GREECE,ISLAND OF TENEDOS,40,26,0,0,0,0,0,0,0,0,0
1674,2,17,11,30,0,definite tsunami,Earthquake,6.8,INDONESIA,BANDA SEA,-3.75,127.75,100,2,1.5,2244,6,24,3,0,3
1674,5,6,0,0,0,probable tsunami,Earthquake,6,INDONESIA,BANDA SEA,-3.7,128.2,0,1,0,0,0,0,0,0,0
1677,4,13,0,0,0,definite tsunami,Earthquake,8.1,JAPAN,SANRIKU,40,144,6,2.6,2,0,0,1,1,0,1
1677,11,4,0,0,0,definite tsunami,Earthquake,7.4,JAPAN,OFF SE. BOSO PENINSULA,35,141.5,8,3,3,500,0,24,3,1001,4
1678,6,18,1,45,0,probable tsunami,Earthquake,8.4,PERU,CENTRAL PERU,-9,-79,0,2,2.5,0,0,24,3,0,3
1681,3,10,0,0,0,very doubtful tsunami,Earthquake,7.5,CHILE,NORTHERN CHILE,-18.5,-70.35,0,0,0,0,0,0,0,0,0
1687,7,12,0,0,0,very doubtful tsunami,Earthquake,7.5,CHILE,CENTRAL CHILE,-32.8,-70.7,0,0,0,0,0,0,0,0,0
1687,10,20,10,30,0,definite tsunami,Earthquake,8.5,PERU,S. PERU,-13.5,-76.5,0,3,3.5,5000,0,24,3,0,0
1688,7,10,11,45,0,questionable tsunami,Earthquake,7,TURKEY,IZMIR,38.4,26.9,0,0,2,0,0,0,0,0,0
1690,4,16,0,0,0,definite tsunami,Earthquake,8,ANTIGUA AND BARBUDA,ANTIGUA; SAINT KITTS AND NEVIS,17.5,-61.5,0,0,0,0,0,0,0,0,0
1692,6,7,0,0,0,definite tsunami,Earthquake and Landslide,7.7,JAMAICA,PORT ROYAL,17.8,-76.7,1.8,0,0,2000,0,24,3,0,3
1693,1,9,21,0,0,questionable tsunami,Earthquake,6,ITALY,EASTERN SICILY,37.333,15.167,0,0,2,0,0,0,0,0,0
1693,1,11,13,30,0,definite tsunami,Earthquake,0,ITALY,ISLAND OF SICILY,37.133,15.017,0,0,4,0,0,0,0,0,0
1694,4,0,0,0,0,event that only caused a seiche or disturbance in an inland river,Earthquake,5.5,TAIWAN,TAIWAN,25,121.5,0,0,0,0,0,0,0,0,0
1698,12,22,0,0,0,definite tsunami,Earthquake,6.4,JAPAN,SEIKAIDO-NANKAIDO,33.3,131.7,0,0,0,0,0,0,0,0,0
1700,1,27,5,0,0,definite tsunami,Earthquake,9,USA,CASCADIA SUBDUCTION ZONE,45,-125,0,0,0,2,0,24,3,0,0
1700,4,16,0,0,0,questionable tsunami,Earthquake,7,JAPAN,"TSUSHIMA, NAGASAKI PREFECTURE",34.2,129.3,6,0,0,1000,0,24,3,0,3
1700,9,12,0,0,0,definite tsunami,Earthquake,6.5,SOUTH KOREA,YELLOW SEA,36.5,126.5,0,0,1,0,0,0,0,0,0
1703,2,2,21,11,5,event that only caused a seiche or disturbance in an inland river,Earthquake,6.7,ITALY,LATIUM,42.467,13.2,0,0,3,0,0,0,0,0,0
1703,7,2,0,0,0,questionable tsunami,Earthquake,3.2,ITALY,LIGURIA-COTE D'AZUR,44.4,8.917,0,0,3,0,0,0,0,0,0
